GeoFips,GeoName,LineCode,Description,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1
1000,Alabama,1,Real GDP (millions of chained 2012 dollars),191910.7,191899.3,192940.6,195345,196462.2,197698.7,199129,200453.8,201554.6,202432.7,203289.5,204484.3,201980.7
1000,Alabama,2,Chain-type quantity indexes for real GDP,103.012,103.006,103.565,104.856,105.455,106.119,106.887,107.598,108.189,108.66,109.12,109.761,108.418
1000,Alabama,3,Current-dollar GDP (millions of current dollars),207637.5,208359.9,210680.7,214779.5,217369.7,220572.2,223140.7,225859.4,227735,229939.2,232144.7,234054.2,232088.7
2000,Alaska,1,Real GDP (millions of chained 2012 dollars),52406.2,52588,53177,52738.3,52638.9,52825.5,53289.1,53616,53856.2,54402.3,54727.1,54786,54227.8
2000,Alaska,2,Chain-type quantity indexes for real GDP,90.872,91.188,92.209,91.448,91.276,91.599,92.403,92.97,93.387,94.334,94.897,94.999,94.031
2000,Alaska,3,Current-dollar GDP (millions of current dollars),51099.7,51274,52060.2,52778.4,53563,54372.7,55410,55590.6,54941.4,55494.6,55429.6,55758.7,53966.4
4000,Arizona,1,Real GDP (millions of chained 2012 dollars),295470.3,296693.1,301834.2,303625.1,307712.1,309716.9,313807.9,315585.6,318103.5,320415.8,322292.9,324915.4,321939.6
4000,Arizona,2,Chain-type quantity indexes for real GDP,110.131,110.587,112.503,113.171,114.694,115.442,116.966,117.629,118.568,119.429,120.129,121.107,119.997
4000,Arizona,3,Current-dollar GDP (millions of current dollars),321355.3,323650.6,330533.4,334443.7,340672.6,345474,351708.8,355332.9,359404.7,364276.6,368556.3,372521.8,370659.6
5000,Arkansas,1,Real GDP (millions of chained 2012 dollars),115234.6,115324.7,114851.7,115975.9,116256.2,117337.1,117606.1,117975.7,118447.2,118975.1,119815.6,120535.7,118997.1
5000,Arkansas,2,Chain-type quantity indexes for real GDP,105.968,106.05,105.615,106.649,106.907,107.901,108.148,108.488,108.922,109.407,110.18,110.842,109.428
5000,Arkansas,3,Current-dollar GDP (millions of current dollars),122495.4,122930.1,123059,125047.7,126088.8,128352.5,129032.8,130201.5,131038,132438.3,134022.1,135225,133965.6
6000,California,1,Real GDP (millions of chained 2012 dollars),2557629.3,2592698.4,2624367.1,2668034.2,2681388.1,2720177.3,2732524.9,2752513.7,2771273.1,2784467.2,2798677.2,2813699,2780246.8
6000,California,2,Chain-type quantity indexes for real GDP,119.265,120.9,122.377,124.413,125.036,126.845,127.42,128.352,129.227,129.842,130.505,131.206,129.646
6000,California,3,Current-dollar GDP (millions of current dollars),2744565.4,2791563.5,2838905.5,2901408.2,2928096.5,2992622.8,3017340.5,3052871.3,3087669.4,3123731.5,3155223.7,3183251.3,3164380.4
8000,Colorado,1,Real GDP (millions of chained 2012 dollars),323960.3,326787.8,332138.4,335408.4,336142,340405.5,342943.1,344816.3,349449,351997.1,354299.5,356560.8,352864.3
8000,Colorado,2,Chain-type quantity indexes for real GDP,118.441,119.475,121.431,122.627,122.895,124.454,125.382,126.066,127.76,128.692,129.534,130.36,129.009
8000,Colorado,3,Current-dollar GDP (millions of current dollars),341820.5,345767.4,353032.7,359397,362721.2,370476.6,375311.6,378488.8,383690.3,388730.8,392347.5,396366.9,392477.4
9000,Connecticut,1,Real GDP (millions of chained 2012 dollars),241700.2,244427.9,244414.8,244187.3,244658.1,243649.8,246431.1,244964,247584.7,248173.3,249471.6,250045.1,247129.1
9000,Connecticut,2,Chain-type quantity indexes for real GDP,99.138,100.257,100.252,100.158,100.352,99.938,101.079,100.477,101.552,101.793,102.326,102.561,101.365
9000,Connecticut,3,Current-dollar GDP (millions of current dollars),264429.9,268292,269571,270949.3,272854.5,273884.5,278294.5,277874.1,281659.3,284357.4,287560.1,288984.7,287710.5
10000,Delaware,1,Real GDP (millions of chained 2012 dollars),63433.8,62304.6,62949.7,62272.2,62374.5,62472.7,63317.3,62894.5,62978.8,63260.6,63260,63621.5,62718.4
10000,Delaware,2,Chain-type quantity indexes for real GDP,102.353,100.531,101.571,100.478,100.643,100.802,102.165,101.482,101.618,102.073,102.072,102.655,101.198
10000,Delaware,3,Current-dollar GDP (millions of current dollars),70780.6,69899,71193.2,71226.4,72091.2,73024.7,74461.4,74348.1,74270.2,75216.3,75765.4,76410.2,76085.6
11000,District of Columbia,1,Real GDP (millions of chained 2012 dollars),120128.8,120110.1,122352.1,121454,123158.5,123322,124728.4,124717.7,125066.8,125722.9,126168.3,126783.9,125512.5
11000,District of Columbia,2,Chain-type quantity indexes for real GDP,106.557,106.541,108.529,107.733,109.245,109.39,110.637,110.628,110.937,111.519,111.914,112.46,111.333
11000,District of Columbia,3,Current-dollar GDP (millions of current dollars),132033.7,132642.5,135881.7,135612.8,138469.2,139579.6,141968.8,142626.2,144074.8,145475.7,146995.5,148231.1,148084.9
12000,Florida,1,Real GDP (millions of chained 2012 dollars),887055.2,891391.2,897512.2,908509.5,916712.7,920208.6,930598.2,931973.7,942840.3,947560.9,953208.6,959426.6,947409
12000,Florida,2,Chain-type quantity indexes for real GDP,115.305,115.869,116.665,118.094,119.161,119.615,120.965,121.144,122.557,123.17,123.905,124.713,123.151
12000,Florida,3,Current-dollar GDP (millions of current dollars),969364.7,977809.1,989205.9,1006281.8,1020176.9,1032277.4,1048477.6,1056013.7,1073991.7,1087311.8,1100721.1,1111378.3,1104271
13000,Georgia,1,Real GDP (millions of chained 2012 dollars),512198.9,513340.9,517368.6,523467,522994.9,526149.8,532652.1,534198.9,536155.3,537596.8,540603.1,543789.9,537270.5
13000,Georgia,2,Chain-type quantity indexes for real GDP,115.326,115.583,116.49,117.863,117.757,118.467,119.931,120.279,120.72,121.044,121.721,122.439,120.971
13000,Georgia,3,Current-dollar GDP (millions of current dollars),558591.1,561187.6,568169.9,577945.7,579993,588339.7,597746.2,602534.6,607081,613105.2,619817.7,625329.2,621477.8
15000,Hawaii,1,Real GDP (millions of chained 2012 dollars),80432,80274,80850,81307.1,81835.6,82689.9,82854,83228.1,83268.6,83372.7,83460.3,83936,82187.7
15000,Hawaii,2,Chain-type quantity indexes for real GDP,109.308,109.094,109.876,110.498,111.216,112.377,112.6,113.108,113.163,113.305,113.424,114.07,111.694
