GeoFips,GeoName,LineCode,Description,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1
1000,Alabama,1,"Personal income (millions of dollars, seasonally adjusted)",195073.7,196116.8,197431,200511.2,203755.1,205432.6,207198.6,209433.8,212350.8,214193.4,216261,217655,219229.5
1000,Alabama,2,"Population (midperiod, persons) 1/",4871243,4873014,4876890,4881021,4883316,4885903,4890367,4895013,4897846,4901089,4905888,4910540,4913570
1000,Alabama,3,Per capita personal income (dollars) 2/,40046,40245,40483,41080,41725,42046,42369,42785,43356,43703,44082,44324,44617
2000,Alaska *,1,"Personal income (millions of dollars, seasonally adjusted)",41670.2,41753.5,42122.6,42514.8,43220,43482.1,44155.2,44415.6,44901.4,45302.8,45627.8,45947.4,46098.7
2000,Alaska *,2,"Population (midperiod, persons) 1/",740459,739893,739209,738173,736905,735682,734767,733944,732911,731958,731203,730430,729448
2000,Alaska *,3,Per capita personal income (dollars) 2/,56276,56432,56983,57595,58651,59104,60094,60516,61265,61893,62401,62905,63197
4000,Arizona,1,"Personal income (millions of dollars, seasonally adjusted)",293992.1,296634.1,301754.4,306071.6,312770.1,315249.5,320206.1,323425.9,329961.1,334605.4,339311,343249.7,346008.5
4000,Arizona,2,"Population (midperiod, persons) 1/",7006957,7031120,7059518,7089352,7116421,7143690,7174333,7205719,7234387,7263483,7294957,7326194,7355459
4000,Arizona,3,Per capita personal income (dollars) 2/,41957,42189,42744,43173,43950,44130,44632,44885,45610,46067,46513,46852,47041
5000,Arkansas,1,"Personal income (millions of dollars, seasonally adjusted)",123690.7,124249.3,124436.6,126358.5,128378.2,129593.5,130648.2,132566.7,133103.3,135080.2,136128.8,136963.7,137609.4
5000,Arkansas,2,"Population (midperiod, persons) 1/",2997571,2999844,3002852,3005455,3006919,3008594,3011195,3013641,3015024,3016670,3019272,3021757,3023277
5000,Arkansas,3,Per capita personal income (dollars) 2/,41264,41419,41439,42043,42694,43074,43388,43989,44147,44778,45087,45326,45517
6000,California,1,"Personal income (millions of dollars, seasonally adjusted)",2329198.9,2350785.6,2374217.3,2426247.6,2465672.7,2504116.2,2528020.2,2558707.9,2596657.5,2638750.8,2639109.4,2686709.4,2701899.5
6000,California,2,"Population (midperiod, persons) 1/",39295007,39334719,39377558,39409964,39429082,39448638,39473795,39492156,39497874,39505293,39525312,39545444,39553142
6000,California,3,Per capita personal income (dollars) 2/,59275,59764,60294,61564,62534,63478,64043,64790,65742,66795,66770,67940,68311
8000,Colorado,1,"Personal income (millions of dollars, seasonally adjusted)",303049.3,307761.4,312918.9,319288.5,326035.5,330559.7,335702.1,339473,347119.4,351523.5,356616.5,357098,358996.4
8000,Colorado,2,"Population (midperiod, persons) 1/",5585390,5602615,5622562,5643192,5661963,5681139,5700456,5718016,5733721,5750007,5767959,5785620,5801727
8000,Colorado,3,Per capita personal income (dollars) 2/,54258,54932,55654,56579,57583,58185,58890,59369,60540,61134,61827,61722,61878
9000,Connecticut,1,"Personal income (millions of dollars, seasonally adjusted)",254235.7,257005.1,258377.5,262699.1,269053.5,271363.2,275620.2,276572.8,280853.3,282039,281914.4,283925.9,285591.1
9000,Connecticut,2,"Population (midperiod, persons) 1/",3575743,3573813,3573647,3573793,3572624,3571648,3571298,3570266,3567968,3565929,3565513,3565332,3563366
9000,Connecticut,3,Per capita personal income (dollars) 2/,71100,71913,72301,73507,75310,75977,77176,77466,78715,79093,79067,79635,80146
10000,Delaware,1,"Personal income (millions of dollars, seasonally adjusted)",47584.1,47678.9,48465.4,49027.4,50148.6,50561.8,51109,51313,52161.8,52662.8,53035,53324.7,53727.3
10000,Delaware,2,"Population (midperiod, persons) 1/",954062,955833,958076,960434,962384,964386,966689,968943,970788,972712,975002,977321,979225
10000,Delaware,3,Per capita personal income (dollars) 2/,49875,49882,50586,51047,52109,52429,52870,52958,53731,54140,54395,54562,54867
11000,District of Columbia,1,"Personal income (millions of dollars, seasonally adjusted)",54287.8,54460.1,55164.8,55840,56878.2,57176.1,58068.2,58296.8,58951.5,59443.3,59937.6,60474.4,60800.4
11000,District of Columbia,2,"Population (midperiod, persons) 1/",691582,693749,695817,697566,699098,700692,702158,703289,704199,705204,706434,707691,708667
11000,District of Columbia,3,Per capita personal income (dollars) 2/,78498,78501,79281,80050,81359,81599,82700,82892,83714,84292,84845,85453,85795
12000,Florida,1,"Personal income (millions of dollars, seasonally adjusted)",982592.6,996539,1008658.8,1028786.8,1049572.6,1058701,1074086.7,1083427.3,1101058.2,1114328.9,1120559.9,1132541.2,1140907.9
12000,Florida,2,"Population (midperiod, persons) 1/",20837634,20919865,21003033,21077796,21143260,21209157,21277677,21340200,21393706,21448248,21516652,21589766,21647088
12000,Florida,3,Per capita personal income (dollars) 2/,47155,47636,48024,48809,49641,49917,50480,50769,51466,51954,52079,52457,52705
13000,Georgia,1,"Personal income (millions of dollars, seasonally adjusted)",456793.1,460082.3,464350.8,473796.4,480416.4,485495.3,493468.8,496476,503902.1,509985.4,514271.7,518232.3,522194.5
13000,Georgia,2,"Population (midperiod, persons) 1/",10371191,10396472,10424344,10451083,10474303,10498146,10525863,10553821,10578311,10603690,10631707,10658876,10683761
13000,Georgia,3,Per capita personal income (dollars) 2/,44044,44254,44545,45335,45866,46246,46882,47042,47635,48095,48372,48620,48877
15000,Hawaii *,1,"Personal income (millions of dollars, seasonally adjusted)",75047.7,75174.4,75845.2,76690.7,77764.6,78374.1,79044.1,79701.8,80708.2,81042.2,81616.4,82402.7,82385.1
15000,Hawaii *,2,"Population (midperiod, persons) 1/",1425935,1424776,1424123,1423463,1422314,1421074,1420191,1419216,1417815,1416415,1415453,1414484,1413162
15000,Hawaii *,3,Per capita personal income (dollars) 2/,52631,52762,53257,53876,54675,55151,55657,56159,56924,57216,57661,58256,58298
16000,Idaho,1,"Personal income (millions of dollars, seasonally adjusted)",70776.5,71888.4,72626.6,74129.1,75682.1,76518.9,77239.6,78608.7,79780.3,81173.7,82366.6,83367.4,84174.8
16000,Idaho,2,"Population (midperiod, persons) 1/",1704727,1713262,1722060,1730546,1738413,1746376,1755332,1764717,1773498,1782415,1791910,1801410,1810428
16000,Idaho,3,Per capita personal income (dollars) 2/,41518,41960,42174,42836,43535,43816,44003,44545,44985,45541,45966,46279,46494
17000,Illinois,1,"Personal income (millions of dollars, seasonally adjusted)",680522.9,685020.8,691983.3,701368.2,714930.9,721164.1,727932.6,732728.8,739791.5,741680.6,749777.3,752918.5,757475.3
17000,Illinois,2,"Population (midperiod, persons) 1/",12796631,12783785,12773824,12761924,12745432,12729693,12718562,12707525,12692085,12677749,12667254,12656158,12641264
17000,Illinois,3,Per capita personal income (dollars) 2/,53180,53585,54172,54958,56093,56652,57234,57661,58288,58503,59190,59490,59921
18000,Indiana,1,"Personal income (millions of dollars, seasonally adjusted)",297531.7,299378.8,301674.8,306226.9,311936,313509,316541.3,320077.7,323332.5,325905.9,329435.7,332360.8,333342
18000,Indiana,2,"Population (midperiod, persons) 1/",6650069,6654869,6663638,6673969,6682017,6690538,6700960,6710972,6718784,6727290,6737581,6747410,6755482
18000,Indiana,3,Per capita personal income (dollars) 2/,44741,44986,45272,45884,46683,46859,47238,47695,48124,48445,48895,49258,49344
19000,Iowa,1,"Personal income (millions of dollars, seasonally adjusted)",148636.8,148837.4,148540.4,150750.2,155176.8,157102.4,158248.7,162261.1,163429.7,164041.6,167797.8,167942.5,169350.2
19000,Iowa,2,"Population (midperiod, persons) 1/",3138177,3140144,3142890,3145162,3146242,3147596,3149871,3151906,3152822,3154092,3156302,3158301,3159339
19000,Iowa,3,Per capita personal income (dollars) 2/,47364,47398,47262,47931,49321,49912,50240,51480,51836,52009,53163,53175,53603
20000,Kansas,1,"Personal income (millions of dollars, seasonally adjusted)",141182.4,141544.1,142100.9,144138.9,147693,149141.7,150315.9,152285.9,153389.4,154394.6,156772.3,158382.2,159116.7
